feature_name,omics_layer,feature_type,reported_direction,n_studies,n_records,direction_consistency_ratio,evidence_frequency_score,direction_score,effect_strength_score,disease_subtype_coverage_score,activity_stage_coverage_score,trajectory_outcome_coverage_score,disease_trajectory_score,mechanism_score,model_score,conservative_total_score,available_evidence_score,evidence_completeness,evidence_level,fingerprint_category,effect_strength_status,source_study_ids,source_record_ids,source_comparisons,source_omics_layers,source_model_tasks,source_mechanism_mapping_file,score_reasoning_text,original_feature_name,taxonomic_rank_or_metabolite_class,mechanistic_category,mechanism_categories_from_mapping,model_sources,meta_support_sources,candidate_evidence_strength,recommended_use,caution_notes,normalized_feature_key,metabolite_normalized_key,family_key,genus_key,species_key,exact_feature_key,linkage_method,linkage_confidence,linkage_warning,matched_evidence_count,matched_evidence_sources,matched_evidence_types,matched_evidence_tasks,matched_evidence_record_ids,parsed_disease_subtype,parsed_activity_stage,parsed_trajectory_outcome,tier1_strict_core_flag,tier2_cross_study_directional_flag,tier3_gut_omics_mechanism_model_flag,tier4_model_prioritized_flag,tier5_remaining_exploratory_flag,primary_candidate_tier,all_candidate_tiers,revised_candidate_category,model_task,model_evidence_source,candidate_id,feature_label,manuscript_evidence_tier,direct_detected_feature,model_layer_meta_feature_status,retention_status,source_candidate_table,source_candidate_sheet,source_excel_row
2_2_dimethyladipic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,14.2372881355932,15.4872881355932,51.6242937853107,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::6;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::4,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=14.2/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,2_2_dimethyladipic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,2_2_dimethyladipic_acid,2_2_dimethyladipic_acid,,,,2_2_dimethyladipic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::6;metabolome_XGBoost_IBD_vs_HC::4,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,2_2_dimethyladipic_acid,2 2 dimethyladipic acid,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1332
2_butenoic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,1.52542372881356,2.77542372881356,9.25141242937853,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::50;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::56,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=1.5/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,2_butenoic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,2_butenoic_acid,2_butenoic_acid,,,,2_butenoic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::50;metabolome_XGBoost_IBD_vs_HC::56,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,2_butenoic_acid,2 butenoic acid,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,10213
2_furoic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,14.4915254237288,15.7415254237288,52.4717514124293,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::3;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::14,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=14.5/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,2_furoic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,2_furoic_acid,2_furoic_acid,,,,2_furoic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::3;metabolome_XGBoost_IBD_vs_HC::14,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,2_furoic_acid,2 furoic acid,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1324
3_3_hydroxyphenyl_3_hydroxypropanoic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,1.52542372881356,2.77542372881356,9.25141242937853,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::49;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::57,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=1.5/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,3_3_hydroxyphenyl_3_hydroxypropanoic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,3_3_hydroxyphenyl_3_hydroxypropanoic_acid,3_3_hydroxyphenyl_3_hydroxypropanoic_acid,,,,3_3_hydroxyphenyl_3_hydroxypropanoic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::49;metabolome_XGBoost_IBD_vs_HC::57,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,3_3_hydroxyphenyl_3_hydroxypropanoic_acid,3 3 hydroxyphenyl 3 hydroxypropanoic acid,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,10214
5_hydroxylysine,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,5.33898305084746,6.58898305084746,21.9632768361582,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::39;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::42,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=5.3/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,5_hydroxylysine,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,5_hydroxylysine,5_hydroxylysine,,,,5_hydroxylysine,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::39;metabolome_XGBoost_IBD_vs_HC::42,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,5_hydroxylysine,5 hydroxylysine,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,10201
6_carboxyhexanoate,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,13.2203389830509,14.4703389830509,48.2344632768363,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::9;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::8,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=13.2/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,6_carboxyhexanoate,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,6_carboxyhexanoate,6_carboxyhexanoate,,,,6_carboxyhexanoate,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::9;metabolome_XGBoost_IBD_vs_HC::8,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,6_carboxyhexanoate,6 carboxyhexanoate,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1392
7_ketolca,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,8.38983050847458,9.63983050847458,32.1327683615819,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::27;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::31,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=8.4/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,7_ketolca,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,7_ketolca,7_ketolca,,,,7_ketolca,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::27;metabolome_XGBoost_IBD_vs_HC::31,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,7_ketolca,7 ketolca,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,9275
9_pentadecenoic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,7.62711864406779,8.87711864406779,29.590395480226,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::45;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::30,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=7.6/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,9_pentadecenoic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,9_pentadecenoic_acid,9_pentadecenoic_acid,,,,9_pentadecenoic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::45;metabolome_XGBoost_IBD_vs_HC::30,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,9_pentadecenoic_acid,9 pentadecenoic acid,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,9280
all_cis_4_7_10_13_16_docosapentaenoic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,12.7118644067797,13.9618644067797,46.539548022599,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::17;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::10,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=12.7/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,all_cis_4_7_10_13_16_docosapentaenoic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,all_cis_4_7_10_13_16_docosapentaenoic_acid,all_cis_4_7_10_13_16_docosapentaenoic_acid,,,,all_cis_4_7_10_13_16_docosapentaenoic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::17;metabolome_XGBoost_IBD_vs_HC::10,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,all_cis_4_7_10_13_16_docosapentaenoic_acid,all cis 4 7 10 13 16 docosapentaenoic acid,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1406
aminoadipate,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,13.4745762711864,14.7245762711864,49.0819209039547,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::7;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::22,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=13.5/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,aminoadipate,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,aminoadipate,aminoadipate,,,,aminoadipate,exact_feature_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::7;metabolome_XGBoost_IBD_vs_HC::22,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,aminoadipate,aminoadipate,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1382
arachidonic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,14.7457627118644,15.9957627118644,53.319209039548,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::2;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::2,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=14.7/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,arachidonic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,arachidonic_acid,arachidonic_acid,,,,arachidonic_acid,exact_feature_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::2;metabolome_XGBoost_IBD_vs_HC::2,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,arachidonic_acid,arachidonic acid,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1317
arginine,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,9.15254237288136,10.4025423728814,34.6751412429379,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::24;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::36,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=9.2/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,arginine,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,arginine,arginine,,,,arginine,exact_feature_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::24;metabolome_XGBoost_IBD_vs_HC::36,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,arginine,arginine,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,9267
carnitine,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,1.52542372881356,2.77542372881356,9.25141242937853,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::55;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::55,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=1.5/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,carnitine,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,carnitine,carnitine,,,,carnitine,exact_feature_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::55;metabolome_XGBoost_IBD_vs_HC::55,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,carnitine,carnitine,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,10215
cis_7_10_13_16_docosatetraenoic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,15.0,16.25,54.1666666666667,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::1;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::1,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=15/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,cis_7_10_13_16_docosatetraenoic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,cis_7_10_13_16_docosatetraenoic_acid,cis_7_10_13_16_docosatetraenoic_acid,,,,cis_7_10_13_16_docosatetraenoic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::1;metabolome_XGBoost_IBD_vs_HC::1,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,cis_7_10_13_16_docosatetraenoic_acid,cis 7 10 13 16 docosatetraenoic acid,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1209
coumaric_acid_4_hydroxycinnamic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,11.6949152542373,12.9449152542373,43.1497175141243,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::14;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::20,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=11.7/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,coumaric_acid_4_hydroxycinnamic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,coumaric_acid_4_hydroxycinnamic_acid,coumaric_acid_4_hydroxycinnamic_acid,,,,coumaric_acid_4_hydroxycinnamic_acid,exact_normalized_key_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::14;metabolome_XGBoost_IBD_vs_HC::20,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,coumaric_acid_4_hydroxycinnamic_acid,coumaric acid 4 hydroxycinnamic acid,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1436
cystine,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,10.1694915254237,11.4194915254237,38.0649717514123,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::20;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::32,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=10.2/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,cystine,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,cystine,cystine,,,,cystine,exact_feature_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::20;metabolome_XGBoost_IBD_vs_HC::32,IBD vs HC,,,False,False,False,True,False,Tier 4 - model-prioritized exploratory candidate,Tier 4 - model-prioritized exploratory candidate,model-prioritized exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,cystine,cystine,Evidence Tier II,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,1454
decanoic_acid,metabolome,metabolite_or_metabolic_feature,,,0,,,,,1.25,0,0.0,1.25,,1.52542372881356,2.77542372881356,9.25141242937853,0.3,E1,exploratory features,not_available,,model::metabolome_SHAP_IBD_vs_HC::A_IBD_vs_HC::51;model::metabolome_XGBoost_IBD_vs_HC::A_IBD_vs_HC::49,,metabolome,A_IBD_vs_HC,,Frequency=0/20 from unique studies n=NA; Direction=0/20 with consistency=NA; Effect=not_available; Trajectory=0/15; Mechanism=not_available; Model=1.5/15; formal/raw-to-meta effect is optional and missing values are not interpreted as negative biological evidence.,decanoic_acid,,,,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,,,,,decanoic_acid,decanoic_acid,,,,decanoic_acid,exact_feature_match,high,,2,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,model_evidence,,metabolome_SHAP_IBD_vs_HC::51;metabolome_XGBoost_IBD_vs_HC::49,IBD vs HC,,,False,False,False,False,True,Tier 5 - remaining single-study/exploratory evidence,Tier 5 - remaining single-study/exploratory evidence,remaining single-study or exploratory candidate fingerprint feature,A_IBD_vs_HC,metabolome_SHAP_IBD_vs_HC;metabolome_XGBoost_IBD_vs_HC,decanoic_acid,decanoic acid,Evidence Tier III,True,not_model_layer_meta_feature,retained_in_499_direct_detected_candidate_atlas,<PROJECT_ROOT>\Figures Tables\核心指纹\02_all_candidate_features_weight_table_revised.xlsx,weight_table_revised,10216
